index,postal_codes,places
272,L4T,Mississauga
273,L4X,Mississauga
274,L4Z,Mississauga
275,L5A,Mississauga
276,L5C,Mississauga
277,L5G,Mississauga
278,L5J,Mississauga
279,L5K,Mississauga
280,L5L,Mississauga
281,L5M,Mississauga
282,L5N,Mississauga
283,L5R,Mississauga
284,L6A,Maple
285,L6J,Oakville
286,L6M,Oakville
287,L6X,Brampton
288,L6Y,Brampton
289,L6Z,Brampton
290,L7R,Burlington
291,L8E,Stoney Creek
292,L9N,Holland Landing
293,L0M,Angus
294,L0N,Shelburne
295,L0R,Hamilton
296,L0S,Crystal Beach
297,L1G,Oshawa
298,L1H,Oshawa
299,L1J,Oshawa
300,L1K,Oshawa
301,L1N,Whitby
302,L1V,Pickering
303,L1W,Pickering
304,L1Z,Ajax
305,L2H,Niagara Falls
306,L2N,Saint Catharines
307,L2P,Saint Catharines
308,L2R,St Catharines
309,L3B,Welland
310,L3C,Welland
311,L3M,Grimsby
312,L3R,Markham
313,L3T,Thornhill
314,L4E,Richmond Hill
315,L4G,Aurora
316,L4H,Woodbridge
317,L4J,Thornhill
318,L4L,Woodbridge
319,L4W,Mississauga
320,L4Y,Mississauga
321,L5A,Mississauga
322,L5E,Mississauga
323,L5G,Mississauga
324,L5L,Mississauga
325,L5M,Mississauga
326,L5N,Mississauga
327,L5R,Mississauga
328,L5S,Mississauga
329,L6A,Maple
330,L6J,Oakville
331,L6L,Oakville
332,L6T,Brampton
333,L6Z,Brampton
334,L7L,Burlington
335,L7M,Burlington
336,L7N,Burlington
337,L7P,Burlington
338,L7R,Burlington
339,L7T,Burlington
340,L8E,Stoney Creek
341,L8H,Hamilton
342,L8P,Hamilton
343,L9L,Port Perry
344,L9T,Milton
345,L0B,Nestleton Station
346,L0K,Orillia
347,L4M,Oro
348,L8K,Hamilton
349,L0C,Uxbridge
350,L0E,Pefferlaw
351,L0M,Glencairn
352,L1V,Pickering
353,L8H,Hamilton
354,L8P,Hamilton
355,L8R,Hamilton
356,L3R,Markham
357,L4L,Woodbridge
358,L4W,Mississauga
359,L0J,Vaughan
360,L0N,Shelburne
361,L4N,Barrie
362,M1B,Scarborough
363,M1C,Scarborough
364,M1E,Scarborough
365,M1G,Scarborough
366,M1H,Scarborough
367,M1J,Scarborough
368,M1K,
369,M1L,Scarborough
370,M1M,Scarborough
371,M1N,Scarborough
372,M1P,Scarborough
373,M1R,Scarborough
374,M1S,Scarborough
375,M1T,Scarborough
376,M1V,Scarborough
377,M1W,Scarborough
378,M1X,Scarborough
379,M2H,North York
380,M2J,
381,M2K,North York
382,M2L,Willowdale
383,M2M,North York
384,M2N,North York
385,M2P,North York
386,M2R,North York
387,M3A,North York
388,M3B,North York
389,M3C,North York
390,M3H,North York
391,M3J,North York
392,M3K,North York
393,M3L,North York
394,M3M,North York
395,M3N,North York
396,M4A,North York
397,M4B,East York
398,M4C,Toronto
399,M4E,Toronto
400,M4G,East York
401,M4H,Toronto
402,M4J,Toronto
403,M4K,Toronto
404,M4L,Toronto
405,M4M,Toronto
406,M4N,North York
