PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
M9C2Y3,M9C,43.644221,-79.568891,Etobicoke,M,35,Urban
M9C2Y4,M9C,43.644382,-79.56741,Etobicoke,M,35,Urban
M9C2Y5,M9C,43.644128,-79.569012,Etobicoke,M,35,Urban
M9C2Y6,M9C,43.64371,-79.570817,Etobicoke,M,35,Urban
M9C2Y7,M9C,43.643482,-79.57178,Etobicoke,M,35,Urban
M9C2Y8,M9C,43.64299,-79.573833,Etobicoke,M,35,Urban
M9C2Y9,M9C,43.642957,-79.5739715,Etobicoke,M,35,Urban
M9C2Z0,M9C,43.64253,-79.578946,Etobicoke,M,35,Urban
M9C2Z1,M9C,43.642717,-79.575015,Etobicoke,M,35,Urban
M9C2Z2,M9C,43.642831,-79.574121,Etobicoke,M,35,Urban
M9C2Z3,M9C,43.640098,-79.583213,Etobicoke,M,35,Urban
M9C2Z4,M9C,43.642388,-79.576067,Toronto,M,35,Urban
M9C2Z5,M9C,43.64251,-79.576227,Etobicoke,M,35,Urban
M9C2Z6,M9C,43.642203,-79.57748,Etobicoke,M,35,Urban
M9C2Z7,M9C,43.649523,-79.56833,Etobicoke,M,35,Urban
M9C2Z8,M9C,43.646351,-79.570342,Etobicoke,M,35,Urban
M9C2Z9,M9C,43.6461905,-79.57109632,Etobicoke,M,35,Urban
M9C3A1,M9C,43.646479,-79.569759,Etobicoke,M,35,Urban
M9C3A2,M9C,43.648323,-79.572617,Etobicoke,M,35,Urban
M9C3A3,M9C,43.648585,-79.572108,Etobicoke,M,35,Urban
M9C3A4,M9C,43.64902,-79.570707,Etobicoke,M,35,Urban
M9C3A5,M9C,43.6495485,-79.5724325,Etobicoke,M,35,Urban
M9C3A6,M9C,43.649982,-79.573782,Etobicoke,M,35,Urban
M9C3A7,M9C,43.650227,-79.572657,Etobicoke,M,35,Urban
M9C3A8,M9C,43.649618,-79.578609,Etobicoke,M,35,Urban
M9C3A9,M9C,43.649782,-79.578484,Etobicoke,M,35,Urban
M9C3B1,M9C,43.6502275,-79.576577,Etobicoke,M,35,Urban
M9C3B2,M9C,43.650003,-79.57743,Etobicoke,M,35,Urban
M9C3B3,M9C,43.650534,-79.575314,Etobicoke,M,35,Urban
M9C3B4,M9C,43.650535,-79.575304,Etobicoke,M,35,Urban
M9C3B5,M9C,43.650758,-79.570798,Etobicoke,M,35,Urban
M9C3B6,M9C,43.6502715,-79.571147,Etobicoke,M,35,Urban
M9C3B7,M9C,43.6491025,-79.5699065,Etobicoke,M,35,Urban
M9C3B8,M9C,43.649115,-79.569913,Etobicoke,M,35,Urban
M9C3B9,M9C,43.645759,-79.575003,Etobicoke,M,35,Urban
M9C3C1,M9C,43.645751,-79.575005,Etobicoke,M,35,Urban
M9C3C2,M9C,43.646916,-79.576034,Etobicoke,M,35,Urban
M9C3C3,M9C,43.647916,-79.576457,Etobicoke,M,35,Urban
M9C3C4,M9C,43.649201,-79.577286,Etobicoke,M,35,Urban
M9C3C5,M9C,43.649492,-79.577483,Etobicoke,M,35,Urban
M9C3C6,M9C,43.65009,-79.577708,Etobicoke,M,35,Urban
M9C3C7,M9C,43.650166,-79.577741,Etobicoke,M,35,Urban
M9C3C8,M9C,43.651356,-79.5748275,Etobicoke,M,35,Urban
M9C3C9,M9C,43.651807,-79.573195,Etobicoke,M,35,Urban
M9C3E0,M9C,43.637734,-79.57651,Etobicoke,M,35,Urban
M9C3E1,M9C,43.647282,-79.574716,Etobicoke,M,35,Urban
M9C3E2,M9C,43.647291,-79.574682,Etobicoke,M,35,Urban
M9C3E3,M9C,43.647752,-79.576083,Etobicoke,M,35,Urban
M9C3E4,M9C,43.645862,-79.576558,Etobicoke,M,35,Urban
M9C3E5,M9C,43.645687,-79.576745,Etobicoke,M,35,Urban
M9C3E6,M9C,43.644795,-79.57858,Etobicoke,M,35,Urban
M9C3E7,M9C,43.64491,-79.578469,Etobicoke,M,35,Urban
M9C3E8,M9C,43.646616,-79.577251,Etobicoke,M,35,Urban
M9C3E9,M9C,43.6466328,-79.57717285,Etobicoke,M,35,Urban
M9C3G1,M9C,43.647539,-79.577828,Etobicoke,M,35,Urban
M9C3G2,M9C,43.645333,-79.573194,Etobicoke,M,35,Urban
M9C3G3,M9C,43.645243,-79.573349,Etobicoke,M,35,Urban
M9C3G4,M9C,43.645763,-79.572507,Etobicoke,M,35,Urban
M9C3G5,M9C,43.64614843,-79.5720578,Etobicoke,M,35,Urban
