age,income,avg_children,youth_ratio,pcode
42.4,34250,1.111351351,17.2,N1P
35.6,38681,1.107614213,21.2,N1M
36.5,34810,1.117820324,19.2,N1L
41.7,31836,1.121888412,14.6,N1K
40.7,32860,1.114098361,14.9,N1H
38.7,35074,1.150974026,18.9,N1G
38.3,43022,1.038327526,18.4,N1E
43.2,27371,1.124031008,17,N1C
41.1,36427,1.083561644,17.7,N1A
43,29527,1.106938484,16.8,N0R
42.8,34420,1.105490705,16.8,N0P
43.4,33186,1.109419874,16.6,N0N
41.7,33769,1.080391472,17.8,N0M
39,31998,1.116246499,21,N0L
38.2,31473,1.120082816,22,N0K
46.8,30313,1.061049011,13.7,N0J
40.9,29454,1.119886239,19.7,N0H
42.3,31285,1.089574899,17.3,N0G
42.8,27857,1.152843602,16.8,N0E
40.2,37164,1.084745763,19.4,N0C
44.7,31688,1.094730238,14.5,N0B
39.6,24616,1.203563306,16.2,N0A
37.4,21812,1.229150013,19.2,M9W
40.9,26328,1.190724089,18,M9V
44.9,30562,1.15007776,15,M9R
39.3,24983,1.289189189,17.3,M9P
38.4,23954,1.250494397,18.8,M9N
41,22884,1.199507389,17,M9M
44.5,32380,1.083333333,13.1,M9L
41.7,35332,1.096271826,15.7,M9C
43.2,35071,1.118164063,13.4,M9B
41.8,37937,1.049382716,14.5,M9A
40.7,36310,1.047385621,14.8,M8Z
45.7,50118,1.092948718,14.5,M8Y
42,32450,1.105901374,14,M8X
42.4,32182,1.095571096,11.4,M8W
 ,,,,
 ,,,,
 ,,,,
 ,,,,
39.8,41745,1.082973621,18.1,M7A
39.4,37178,1.059615385,15.6,M6S
39.7,34539,1.043434848,13.4,M6R
40.3,24517,1.174377224,15.4,M6P
39.2,24089,1.298634182,17.3,M6N
41.6,24345,1.226527571,16.8,M6M
38.4,29348,1.172137126,8.9,M6L
38.9,31827,1.093990755,9.9,M6K
39.5,27401,1.08311229,11.8,M6J
41.8,30249,1.111254851,11.8,M6H
41.3,25364,1.105022831,14,M6G
40.2,32457,1.078114004,15.8,M6E
41.3,28048,1.13549832,16.4,M6C
40.4,25258,1.274008811,18.2,M6B
 ,,,,
 ,,,,
34.2,45581,0.990990991,5.1,M5W
40.3,19920,1.240282686,7.4,M5V
39,26269,1.028423773,5.6,M5T
43.6,38077,1.024783147,7.3,M5S
42.7,43296,1.083775186,12.9,M5R
39.8,40021,1.115646259,18.5,M5P
39.1,48777,1.118811881,21.1,M5N
 ,,,,
 ,,,,
38.5,47669,0.912935323,6.2,M5K
35.8,48171,0.872340426,4,M5J
32.9,26802,1.073913043,7.4,M5H
40,50850,0.930348259,5.3,M5G
39.8,47791,1.220338983,5.3,M5E
36.6,28000,1.186885246,5.7,M5C
39.3,28885,1.258089976,9.8,M5B
39.1,32839,0.966371681,4.4,M5A
39.7,22486,1.193979933,12.7,M4Y
45.3,49760,1.045380875,10.6,M4X
44.9,46582,1.038848921,10.3,M4W
44.4,50632,1.107883817,13.1,M4V
41.1,42378,1.037420382,13.3,M4T
39.4,45447,1.079062958,17.3,M4S
40.8,36334,1.064850843,9.6,M4R
42.1,51429,1.100719424,17.4,M4P
39.7,32114,1.123754153,13.9,M4N
38.9,35864,1.110366168,18,M4M
41.4,33632,1.102380952,14.6,M4L
40.4,31118,1.120894161,17.3,M4K
34.1,18947,1.204562738,27.4,M4J
41,48823,1.090981013,18.2,M4H
40.1,42430,1.095512821,17.7,M4G
39.4,27685,1.100519931,17.2,M4E
41.1,27724,1.166226913,16,M4C
43.8,25758,1.162352941,14.1,M4B
37,20562,1.393721634,21.2,M4A
40.5,24908,1.233552632,16.3,M3N
41.3,23447,1.23914969,16.2,M3M
42.6,26256,1.147959184,14.3,M3L
38.1,22132,1.223360656,14.4,M3K
40.6,29524,1.115532734,16.3,M3J
41.3,24944,1.1416882,16.5,M3H
44.7,41725,1.04040404,15.3,M3C
40,27357,1.194639719,16.8,M3B
43.4,22768,1.118441971,13.1,M3A
43.1,42614,1.087954111,13.9,M2R
39.9,26456,1.005619293,11.5,M2P
43.8,22337,1.050952136,10.4,M2N
42.6,37388,1.125153374,14.8,M2M
42.9,29936,1.015849057,10.9,M2L
40.3,24285,1.049421661,14.8,M2K
44.9,24239,1.055218447,12.6,M2J
37.1,24013,1.103477523,19,M2H
44.6,21987,1.070969716,13,M1X
42.3,19249,1.112898971,14.3,M1W
44,21851,1.092883549,14.2,M1V
43.4,20843,1.072294023,12.5,M1T
41.5,24637,1.177477945,15.5,M1S
40.5,23548,1.15026643,16.1,M1R
43,32282,1.112191473,14.9,M1P
42.6,27311,1.14064603,15.5,M1N
38.3,23496,1.151958674,18.6,M1M
39.9,23092,1.198367859,17,M1L
38.1,22985,1.263093788,19.6,M1K
39.9,23519,1.125239617,15.9,M1J
38.6,21241,1.225216065,18.8,M1H
41.5,25395,1.242701969,16.1,M1G
42.1,33746,1.07523511,14.7,M1E
38.9,23742,1.191561901,17.4,M1C
50,27429,1.123243243,11.9,M1B
46.8,30180,1.160472973,13.8,L9Z
 ,,,,
39.7,34262,1.13803681,18,L9X
38.8,33167,1.135011442,20.4,L9W
33.9,37889,1.096898231,26.3,L9V
40.5,31492,1.119500272,18,L9T
42.2,34389,1.147487844,17.6,L9S
42.6,35511,1.108455882,16.1,L9R
40.8,34849,1.053435115,16,L9P
46.6,27844,1.157821229,12.5,L9N
45.6,35365,1.155294118,14.2,L9M
38.6,36736,1.115198451,20.6,L9L
43.5,31168,1,12.6,L9K
45.5,37550,1.124930901,14.1,L9J
42.3,43195,1.097204574,17.2,L9H
42.2,30578,1.184751916,16.3,L9G
40.6,32586,1.193627451,18.2,L9C
41.6,29467,1.20026264,16,L9B
38.2,29774,1.214673913,18.6,L9A
44.8,27962,1.159330986,13.4,L8W
43.3,30871,1.131962296,14.6,L8V
39.8,24102,1.134796238,11.7,L8T
42.2,22093,1.212527964,13.4,L8S
42.5,28067,1.076735688,10.2,L8R
39.7,22646,1.159851301,12.2,L8P
40.8,23971,1.21221374,14.2,L8N
38.1,22701,1.293660287,18.2,L8M
43.1,29211,1.185205479,14.5,L8L
