PostalCode,FSA,Latitude,Longitude,Place Name,FSA1,FSA-Province,AreaType
P0G1L0,P0G,45.60625,-80.345643,Sans Souci,P,35,Rural
P0G1P0,P0G,45.622993,-80.046616,Ardbeg,P,35,Rural
P0G1S0,P0G,45.622993,-80.046618,Ardbeg,P,35,Rural
P0G2N0,P0G,45.622993,-80.046618,Ardbeg,P,35,Rural
P0H1A0,P0H,45.8738,-79.884618,Arnstein,P,35,Rural
P0H1B0,P0H,46.155463,-79.302426,Astorville,P,35,Rural
P0H1C0,P0H,46.982954,-80.071524,Bear Island,P,35,Rural
P0H1E0,P0H,46.22213,-79.15014,Bonfield,P,35,Rural
P0H1G0,P0H,46.369292,-79.987647,Cache Bay,P,35,Rural
P0H1H0,P0H,46.144315,-79.362121,Callander,P,35,Rural
P0H1H1,P0H,46.8431987,-79.8670346,Temagami,P,35,Rural
P0H1J0,P0H,45.908938,-79.601062,Commanda,P,35,Rural
P0H1K0,P0H,46.221907,-79.305773,Corbeil,P,35,Rural
P0H1L0,P0H,46.44818,-79.87419,Crystal Falls,P,35,Rural
P0H1M0,P0H,46.456609,-79.895803,Field,P,35,Rural
P0H1N0,P0H,45.878478,-79.796934,Golden Valley,P,35,Rural
P0H1P0,P0H,46.356492,-79.412743,Hornell Heights,P,35,Rural
P0H1R0,P0H,46.275845,-80.295412,Lavigne,P,35,Rural
P0H1S0,P0H,45.910289,-79.795002,Loring,P,35,Rural
P0H1T0,P0H,46.554771,-79.669008,Marten River,P,35,Rural
P0H1V0,P0H,46.314285,-78.705434,Mattawa,P,35,Rural
P0H1W0,P0H,46.094118,-79.51857,Nipissing,P,35,Rural
P0H1X0,P0H,46.380919,-79.630873,Nipissing Junction,P,35,Rural
P0H1Y0,P0H,45.930022,-79.720459,Port Loring,P,35,Rural
P0H1Z0,P0H,46.08799,-79.36357,Powassan,P,35,Rural
P0H2A0,P0H,46.384124,-79.220135,Redbridge,P,35,Rural
P0H2B0,P0H,46.35758,-79.925389,Sturgeon Falls,P,35,Rural
P0H2C0,P0H,46.585933,-80.179011,River Valley,P,35,Rural
P0H2E0,P0H,46.281477,-79.028265,Rutherglen,P,35,Rural
P0H2G0,P0H,46.415534,-79.822468,Sturgeon Falls,P,35,Rural
P0H2H0,P0H,47.063846,-79.789563,Temagami,P,35,Rural
P0H2J0,P0H,46.698133,-79.104796,Thorne,P,35,Rural
P0H2K0,P0H,46.385214,-79.141855,Tilden Lake,P,35,Rural
